IES,Sigla
Universidade Nove de Julho,UNINOVE
Universidade para o Desenvolvimento do Alto Vale do Itajaí,UNIDAVI
Universidade para O Desenvolvimento do Estado e da Região do Pantanal,UNIDERP
Universidade Paranaense,UNIPAR
Universidade Paulista,UNIP
Universidade Positivo,UP
Universidade Potiguar,UnP
Universidade Presbiteriana Mackenzie,MACKENZIE
Universidade Presidente Antônio Carlos,UNIPAC
Universidade Regional de Blumenau,FURB
Universidade Regional do Cariri,URCA
Universidade Regional do Noroeste do Estado do Rio Grande do Sul,UNIJUI
Universidade Regional Integrada do Alto Uruguai e das Missões,URI
Universidade Salgado de Oliveira,UNIVERSO
Universidade Salvador,UNIFACS
Universidade Santa Cecília,UNISANTA
Universidade Santa Úrsula,USU
Universidade São Francisco,USF
Universidade São Judas Tadeu,USJT
Universidade São Marcos,USM
Universidade Severino Sombra,USS
Universidade Tecnológica Federal do Paraná,UTFPR
Universidade Tiradentes,UNIT
Universidade Tuiuti do Paraná,UTP
Universidade Vale do Rio Doce,UNIVALE
Universidade Vale do Rio Verde,UNINCOR
Universidade Veiga de Almeida,UVA
